Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C13, C6",201,3,1uF,C53067
"C10, C11, C12, C26, C4, C9",201,6,100nF,C307380
C14,201,1,10nF,C5142551
C15,201,1,1pF,C281747
C16,201,1,1.2pF,C326704
"C2, C7",201,2,15pF,C277480
C21,201,1,1.8pF,C161415
"C3, C5, C8",402,3,10uF,C76991
L1,201,1,24nH,C275178
"L2, L5",201,2,2nH,C86125
L3,201,1,3.9nH,C77115
L4,201,1,2.7nH,C54929558
"R1, R3",201,2,5.1K,C274341
"R2, R4",201,2,22,C155743
R5,201,1,10K,C106225
U1,QFN-56_L7.0-W7.0-P0.40-TL-EP4.0,1,ESP32-S3,C2913194
U4,TDFN-6_L2.0-W2.0-P0.65-TL-EP,1,TLV75733PDRVR,C2868428
U5,QFN-10_L1.8-W1.3-P0.40_USB3740B-AI2-TR,1,USB3740B-AI2-TR,C626690
U6,USB-C-SMD_TYPE-C-24P-GTJB-040,1,TYPE-C 24P-GTJB 040,C3151751
USB2,USB-A-SMD_USB-212-BCW,1,USB-212-BCW,C720521
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,Q22FA12800101,C255898
