Designator,Mid X,Mid Y,Rotation,Layer
_8,92.365,-129.015,180.0,bottom
_7,90.11,-129.015,180.0,bottom
_6,85.855,-129.015,180.0,bottom
_5,88.11,-129.01,180.0,bottom
_4,87.125,-125.34,180.0,bottom
_3,91.38,-125.34,180.0,bottom
_2,93.635,-125.34,180.0,bottom
,89.38,-125.345,180.0,bottom
AE1,95.515,-129.96,90.0,bottom
C1,88.625,-129.885,0.0,top
C2,91.815,-135.71,0.0,top
C22,95.195,-132.445,0.0,bottom
C23,95.195,-133.835,180.0,bottom
C26,86.7,-134.36,270.0,bottom
C28,95.51,-134.45,0.0,top
C29,95.5,-135.365,0.0,top
C3,95.215,-137.615,90.0,top
C30,96.0,-135.525,90.0,bottom
C31,94.915,-136.74,270.0,bottom
C34,95.19,-135.11,270.0,bottom
C4,85.93,-123.095,0.0,top
C5,87.855,-138.075,270.0,top
C6,85.14,-121.655,0.0,top
C7,92.77,-133.12,180.0,top
L1,93.655,-134.865,270.0,bottom
L4,95.195,-133.14,0.0,bottom
L5,95.725,-137.12942,90.0,bottom
R1,89.635,-137.695,0.0,top
R2,86.35,-133.18,90.0,top
R3,85.65,-133.18,90.0,top
U2,86.61,-134.895,180.0,top
U3,89.415,-133.425,270.0,top
U4,93.21,-137.8,180.0,top
U5,90.365,-133.9525,180.0,bottom
USB1,90.785,-139.295,0.0,bottom
USB2,90.38,-119.7825,180.0,top
X1,92.67,-134.405,0.0,top
